_id,id,aula,polo,sede,day,month,year,time.start,time.end,bookingDate,googleCalendarId,,,,,,,,,,,,,
5fa859ea1bd2a03f4641a0ed,10013,1001,1001,1000,9,11,2020,14.15,16.15,2020-11-08T20:49:46.604Z,q55ia9e2bkqoc426h3mbaf2ghg,,,,,,,,,,,,,
5fa859fa1bd2a03f4641a0ef,10013,1001,1001,1000,9,11,2020,16.30,18.30,2020-11-08T20:50:02.909Z,v62j1dhkjl19vbuq8m95otmbd0,,,,,,,,,,,,,
5fa85a0a1bd2a03f4641a0f1,10013,1001,1001,1000,9,11,2020,18.30,20.30,2020-11-08T20:50:18.241Z,27hmfo9g2tho8r8vb0cosnkeho,,,,,,,,,,,,,
5fa85eaa1bd2a03f4641a0f3,10014,1001,1001,1000,9,11,2020,14.15,16.15,2020-11-08T21:10:02.127Z,bg734v370c2sobe5jgfujdj6v4,,,,,,,,,,,,,
5fa85ec11bd2a03f4641a0f5,10015,1001,1001,1000,9,11,2020,8.30,10.30,2020-11-08T21:10:25.796Z,eik30duaptpv428gdh51s0n96s,,,,,,,,,,,,,
5fa85ed71bd2a03f4641a0f7,10015,1001,1001,1000,9,11,2020,10.45,12.45,2020-11-08T21:10:47.633Z,ipfl1mh32ah2p8lfpv0p4d12a8,,,,,,,,,,,,,
5fa85ee81bd2a03f4641a0f9,10015,1001,1001,1000,9,11,2020,14.15,16.15,2020-11-08T21:11:04.793Z,mho9l5s5m52cqpr714a2fhe458,,,,,,,,,,,,,
5fa85f061bd2a03f4641a0fb,10015,1001,1001,1000,9,11,2020,16.30,18.30,2020-11-08T21:11:34.952Z,mh81hjf7mb6c5n04o6g8930gvs,,,,,,,,,,,,,
5fa85f0a1bd2a03f4641a0fd,10014,1001,1001,1000,9,11,2020,16.30,18.30,2020-11-08T21:11:38.687Z,sovtmgp2sj8bf0vrkdis2knmgc,,,,,,,,,,,,,
5fa8640f1bd2a03f4641a101,10016,1002,1002,1000,9,11,2020,8.30,10.30,2020-11-08T21:33:03.488Z,moblo45l5tduh13uvhhv11ufa8,,,,,,,,,,,,,
5fa866ea1bd2a03f4641a103,10017,1001,1001,1000,9,11,2020,14.15,16.15,2020-11-08T21:45:14.925Z,3m73pvdu224fq1f6t0grftvttk,,,,,,,,,,,,,
5fa8683b1bd2a03f4641a106,10018,1001,1001,1000,9,11,2020,10.45,12.45,2020-11-08T21:50:51.050Z,k92nftqvielefj2n4c20l8at2o,,,,,,,,,,,,,
5fa8683b1bd2a03f4641a108,10019,1000,1000,1000,9,11,2020,8.30,10.30,2020-11-08T21:50:51.446Z,3p6f7iq3h79n1dbosmtidph04s,,,,,,,,,,,,,
5fa868471bd2a03f4641a10a,10019,1000,1000,1000,9,11,2020,10.45,12.45,2020-11-08T21:51:03.425Z,pdubi5da912335oogkj4j3dt0o,,,,,,,,,,,,,
5fa8685f1bd2a03f4641a10e,10019,1000,1000,1000,9,11,2020,16.30,18.30,2020-11-08T21:51:27.636Z,eopc3v7bjsdeu1bfai81202d5s,,,,,,,,,,,,,
5fa86abe1bd2a03f4641a111,10020,1001,1001,1000,9,11,2020,16.30,18.30,2020-11-08T22:01:34.995Z,mdtqj6e113vdl9f984it80bp48,,,,,,,,,,,,,
5fa86f3c1bd2a03f4641a113,10021,1001,1001,1000,9,11,2020,10.45,12.45,2020-11-08T22:20:44.617Z,h1lb92v45su7q8vuknh3cojouk,,,,,,,,,,,,,
